 Dia,Data,Paládio,Platina,CrudeOil,USBond,Ouro,Dolar,Bitcoin
Segunda,11/1/2021,2056.76,1068.19,84.71,1.56,1793.28,5.69,60728
Terça,11/2/2021,2014.06,1041.26,84.72,1.55,1787.76,,63141
Quarta,11/3/2021,2008.50,1032.53,81.99,1.60,1769.84,5.55,62776
Quinta,11/4/2021,2005.75,1028.82,80.54,1.53,1792.04,5.60,61365
Sexta,11/5/2021,2040.09,1036.23,82.74,1.45,1818.36,5.54,60976
Sábado,11/6/2021,,,, ,,,61202
Domingo,11/7/2021,,,, ,,,62884
Segunda,11/8/2021,2077.23,1059.10,83.43,1.49,1824.18,5.54,66139
Terça,11/9/2021,2027.15,1062.72,84.78,1.44,1831.92,5.49,67734
Quarta,11/10/2021,2028.03,1070.66,82.64,1.55,1849.60,5.50,64294
Quinta,11/11/2021,2061.00,1088.66,82.87, ,1862.11,5.40,65070
Sexta,11/12/2021,2111.41,1085.80,82.17,1.56,1864.90,5.46,64101
Sábado,11/13/2021,,,, ,,,64368
Domingo,11/14/2021,,,, ,,,64337
Segunda,11/15/2021,2152.74,1089.82,82.05,1.61,1862.84,,63900
Terça,11/16/2021,2162.08,1065.15,82.43,1.63,1850.63,5.50,60489
Quarta,11/17/2021,2193.04,1061.71,80.28,1.59,1867.48,5.52,60117
Quinta,11/18/2021,2137.32,1051.35,81.24,1.59,1858.94,5.57,57595
Sexta,11/19/2021,2061.25,1034.16,78.89,1.55,1845.73,5.61,57870
Sábado,11/20/2021,,,, ,,,59651
Domingo,11/21/2021,,,, ,,,59542
Segunda,11/22/2021,1959.04,1014.16,79.70,1.62,1804.65,5.60,56278
Terça,11/23/2021,1875.16,970.66,82.31,1.67,1789.16,5.59,57709
Quarta,11/24/2021,1853.70,979.52,82.25,1.63,1788.61,5.60,57332
Quinta,11/25/2021,1863.89,998.78,82.22, ,1788.85,5.56,58855
Sexta,11/26/2021,1765.28,958.28,72.72,1.47,1802.59,5.60,54020
Sábado,11/27/2021,,,, ,,,54625
Domingo,11/28/2021,,,, ,,,56342
Segunda,11/29/2021,1796.06,966.36,73.44,1.50,1784.60,5.61,58317
Terça,11/30/2021,1741.29,939.07,70.57,1.44,1774.52,5.62,57139
Quarta,12/1/2021,1750.12,937.43,68.87,1.40,1781.73,5.68,57029
Quinta,12/2/2021,1783.84,940.48,69.67,1.44,1768.74,5.64,56903
Sexta,12/3/2021,1817.43,936.19,69.88,1.34,1783.29,5.65,53655
Sábado,12/4/2021,,,, ,,,48765
Domingo,12/5/2021,,,, ,,,49230
Segunda,12/6/2021,1855.09,940.79,73.08,1.43,1778.67,5.69,50121
Terça,12/7/2021,1855.69,956.51,75.44,1.47,1784.13,5.61,50528
Quarta,12/8/2021,1856.07,960.32,75.82,1.52,1782.99,5.53,50635
Quinta,12/9/2021,1817.27,938.96,74.42,1.50,1775.33,5.58,47998
Sexta,12/10/2021,1764.32,945.65,75.15,1.48,1782.84,5.61,47952
Sábado,12/11/2021,,,, ,,,48814
Domingo,12/12/2021,,,, ,,,49965
Segunda,12/13/2021,1687.57,932.93,74.39,1.42,1786.67,5.68,46829
Terça,12/14/2021,1629.95,924.03,73.70,1.44,1770.85,5.69,48311
Quarta,12/15/2021,1601.57,920.47,73.88,1.46,1776.92,5.69,49193
Quinta,12/16/2021,1734.31,940.30,75.02,1.41,1799.35,5.69,48112
Sexta,12/17/2021,1788.72,935.80,73.52,1.40,1798.11,5.69,46873
Sábado,12/18/2021,,,, ,,,46971
Domingo,12/19/2021,,,, ,,,46742
Segunda,12/20/2021,1754.43,935.63,71.52,1.42,1790.93,5.74,46988
Terça,12/21/2021,1796.19,937.96,73.98,1.46,1789.27,5.74,49106
Quarta,12/22/2021,1884.80,968.01,75.29,1.45,1803.67,5.66,49074
Quinta,12/23/2021,1950.43,975.11,76.85,1.49,1808.81,5.68,50849
Sexta,12/24/2021,1947.91,976.51,76.14, ,1810.26,,50909
Sábado,12/25/2021,,,, ,,,50987
